feature,importance
title,0.0004952461
internet,0.00049026875
result,0.00048209252
success,0.00048120812
solution,0.00047998023
broad,0.000462891
day,0.00046133905
department,0.00045994652
business,0.00045359213
increase,0.00045068693
knowledge,0.0004479287
make,0.00044644607
perform,0.00044613163
provide,0.00044580322
industry,0.00044250366
able,0.00044173698
using,0.00043788855
contributes,0.0004301494
answering,0.00042667473
small,0.00042608517
city,0.00042370602
payment,0.00041563096
facility,0.00041414567
attitude,0.0004102945
self,0.00041023633
check,0.00040181895
assurance,0.0003998815
online,0.00039473036
range,0.00038613917
energy,0.00038004125
management,0.0003728238
career,0.00036233742
advance,0.0003539705
engineer,0.00035036934
people,0.00034976134
good,0.00033768086
sharing,0.00033461137
database,0.00031884364
current,0.0003157116
application,0.0003117283
personal,0.00030471096
provides,0.0003031021
problem,0.00030058296
evaluate,0.00030049618
level,0.00029962676
solving,0.00029518557
hour,0.00029513598
intervention,0.00029000075
verbal,0.00028402818
required,0.0002694804
class,0.00026476648
achieve,0.00025169124
code,0.00024550338
issue,0.00024042888
organization,0.00023365268
friendly,0.00022933689
figure,0.00022670043
stock,0.00022638835
value,0.00022039667
collateral,0.00021796848
key,0.00021753792
staff,0.00020961171
performance,0.00020770375
recruiting,0.0002041513
driving,0.00020191043
feature,0.00020176031
project,0.00019373411
employee,0.00018461971
design,0.00018441572
information,0.00018353005
maintain,0.00018052745
change,0.0001776617
assigned,0.00017691597
fastest,0.00017641042
global,0.00017581809
plan,0.00016792727
maintenance,0.00016675796
practice,0.00016570128
globe,0.00016564944
package,0.0001649684
background,0.00016473304
leading,0.0001634078
degree,0.00016252055
consulting,0.00015434928
develop,0.00015142003
box,0.00014948865
compensation,0.00014896486
seminar,0.00014892554
including,0.0001447162
opening,0.00014089073
access,0.00013907946
continued,0.00013840338
feedback,0.00013548716
week,0.00013537722
fresh,0.0001326128
million,0.00013205987
member,0.00012155505
relevant,0.00010877634
paced,0.00010284645
lunch,9.862798e-05
available,9.659485e-05
effective,9.6312426e-05
optical,9.587783e-05
require,9.566368e-05
use,9.112804e-05
dynamic,9.088313e-05
question,8.8509114e-05
applicable,8.797747e-05
employment,7.9581725e-05
managing,7.919559e-05
began,7.2101626e-05
story,6.954447e-05
event,6.786363e-05
focus,6.6124994e-05
discipline,6.077091e-05
target,5.906638e-05
providing,5.82959e-05
implement,5.681232e-05
metric,5.637381e-05
outside,4.752338e-05
paid,4.580164e-05
education,4.4792287e-05
addition,3.961201e-05
bursting,2.9843884e-05
network,1.1110118e-05
financial,7.854044e-06
hear,2.9403407e-06
shipping,2.661466e-06
approval,0.0
approve,0.0
approved,0.0
approx,0.0
approximately,0.0
apps,0.0
april,0.0
ar,0.0
arabia,0.0
arabic,0.0
arcgis,0.0
architect,0.0
architecting,0.0
architectural,0.0
architecture,0.0
archive,0.0
arena,0.0
argenta,0.0
argentinian,0.0
arise,0.0
arm,0.0
armed,0.0
arrange,0.0
arrangement,0.0
arranging,0.0
array,0.0
arrogance,0.0
article,0.0
articulate,0.0
artisan,0.0
artist,0.0
asap,0.0
ascii,0.0
asia,0.0
aside,0.0
ask,0.0
asked,0.0
asking,0.0
asos,0.0
aspect,0.0
aspiration,0.0
aspire,0.0
assemble,0.0
assembly,0.0
assertive,0.0
assess,0.0
assessing,0.0
assessment,0.0
asset,0.0
assign,0.0
assigning,0.0
assignment,0.0
assistance,0.0
assisting,0.0
associate,0.0
associated,0.0
association,0.0
assume,0.0
assumption,0.0
assure,0.0
athens,0.0
athlete,0.0
atlanta,0.0
atlas,0.0
atmosphere,0.0
attached,0.0
attain,0.0
attend,0.0
attendance,0.0
attending,0.0
attire,0.0
attn,0.0
attorney,0.0
attract,0.0
attracting,0.0
attractive,0.0
auckland,0.0
auction,0.0
audi,0.0
audience,0.0
audio,0.0
audit,0.0
auditing,0.0
auditor,0.0
augmented,0.0
august,0.0
austin,0.0
australia,0.0
australian,0.0
austria,0.0
authentic,0.0
authentication,0.0
author,0.0
authoring,0.0
authority,0.0
authorization,0.0
authorized,0.0
auto,0.0
autocad,0.0
automate,0.0
automated,0.0
automatic,0.0
automatically,0.0
automating,0.0
automation,0.0
automobile,0.0
automotive,0.0
autonomous,0.0
autonomously,0.0
autonomy,0.0
av,0.0
availability,0.0
avastars,0.0
avenue,0.0
avenuestory,0.0
average,0.0
aviary,0.0
avoid,0.0
award,0.0
awarded,0.0
aware,0.0
awareness,0.0
away,0.0
awesome,0.0
aws,0.0
axonix,0.0
aya,0.0
azure,0.0
ba,0.0
babbel,0.0
babfaafbcdfbccfbeaeed,0.0
bachelor,0.0
backbase,0.0
backbone,0.0
backed,0.0
backend,0.0
backfill,0.0
backlog,0.0
backup,0.0
bad,0.0
badfdbcfcfacdeeddfaeebaabbfca,0.0
bag,0.0
bahrain,0.0
balanced,0.0
balancing,0.0
balderton,0.0
ball,0.0
band,0.0
bangalore,0.0
bank,0.0
banker,0.0
banking,0.0
bankruptcy,0.0
banner,0.0
barcelona,0.0
barrier,0.0
bash,0.0
basic,0.0
basis,0.0
batch,0.0
battery,0.0
bay,0.0
bb,0.0
bbbabaaafffdfbabddaad,0.0
bbc,0.0
bbddeecceeffdaeabfe,0.0
bc,0.0
bcg,0.0
bdaafdeceaabfceafdcafabebebfafbffacaca,0.0
beach,0.0
bean,0.0
bearing,0.0
beat,0.0
beaufort,0.0
beautiful,0.0
beauty,0.0
beck,0.0
bed,0.0
bedrijf,0.0
beer,0.0
begin,0.0
behalf,0.0
behavior,0.0
behavioral,0.0
behaviour,0.0
belgium,0.0
belief,0.0
believe,0.0
belt,0.0
benchmark,0.0
benchmarking,0.0
bend,0.0
bent,0.0
berlin,0.0
bespoke,0.0
bessemer,0.0
beta,0.0
better,0.0
bi,0.0
bibliography,0.0
bid,0.0
bidding,0.0
bidi,0.0
big,0.0
bigger,0.0
biggest,0.0
bij,0.0
bike,0.0
bilingual,0.0
billing,0.0
billion,0.0
birthday,0.0
bit,0.0
bitcoin,0.0
biz,0.0
black,0.0
bleeding,0.0
blend,0.0
blending,0.0
blippar,0.0
block,0.0
blog,0.0
blogger,0.0
blogging,0.0
blue,0.0
bluebridge,0.0
blurred,0.0
board,0.0
boarding,0.0
boast,0.0
boat,0.0
boating,0.0
body,0.0
boeing,0.0
bold,0.0
bonus,0.0
book,0.0
booked,0.0
booking,0.0
bookkeeping,0.0
boost,0.0
bootstrap,0.0
border,0.0
boring,0.0
born,0.0
borrower,0.0
boston,0.0
bought,0.0
boundary,0.0
boundless,0.0
boutique,0.0
bowes,0.0
bowling,0.0
bp,0.0
bradley,0.0
brain,0.0
brainstorm,0.0
brainstorming,0.0
branch,0.0
branded,0.0
branding,0.0
branson,0.0
brazil,0.0
breadth,0.0
break,0.0
breakfast,0.0
breaking,0.0
breakthrough,0.0
breathe,0.0
breed,0.0
bridge,0.0
brief,0.0
briefing,0.0
bright,0.0
brightest,0.0
brilliance,0.0
brilliant,0.0
bringing,0.0
brings,0.0
british,0.0
broadband,0.0
broadcast,0.0
broadcaster,0.0
broader,0.0
brochure,0.0
broken,0.0
broker,0.0
brooklyn,0.0
brother,0.0
brought,0.0
brown,0.0
browser,0.0
brussels,0.0
bsc,0.0
bucharest,0.0
budget,0.0
budgeting,0.0
bug,0.0
build,0.0
builder,0.0
building,0.0
built,0.0
bulgaria,0.0
bull,0.0
bullet,0.0
bulletin,0.0
bunch,0.0
bundle,0.0
bureau,0.0
bureaucracy,0.0
burn,0.0
bus,0.0
busy,0.0
button,0.0
buyer,0.0
bw,0.0
ca,0.0
caaedbcabfaaecaeceadcd,0.0
cabinet,0.0
cable,0.0
caching,0.0
cad,0.0
caf,0.0
cafe,0.0
caffeine,0.0
cake,0.0
calculate,0.0
calculation,0.0
calendar,0.0
caliber,0.0
calibri,0.0
california,0.0
called,0.0
caller,0.0
calm,0.0
came,0.0
camera,0.0
campaign,0.0
campus,0.0
canada,0.0
canadian,0.0
cap,0.0
capability,0.0
capable,0.0
capacity,0.0
capital,0.0
capitalist,0.0
capitalize,0.0
capture,0.0
capturing,0.0
car,0.0
carbon,0.0
card,0.0
cardboard,0.0
careful,0.0
carefully,0.0
caregiver,0.0
carepartners,0.0
caring,0.0
carolina,0.0
carried,0.0
carrier,0.0
carry,0.0
carrying,0.0
cart,0.0
carwow,0.0
case,0.0
casino,0.0
cassandra,0.0
casual,0.0
catch,0.0
category,0.0
catered,0.0
catering,0.0
cause,0.0
cbfcbcdaaaaaeeadadbbccdaafb,0.0
ccebbdaadbfdedbafcffaa,0.0
ccfefdacbaaeebbecdebbaeff,0.0
cdl,0.0
celebrate,0.0
celebrity,0.0
cell,0.0
cellular,0.0
celta,0.0
center,0.0
centered,0.0
central,0.0
centrally,0.0
centre,0.0
centric,0.0
century,0.0
ceo,0.0
cequens,0.0
cerebral,0.0
ceremony,0.0
certain,0.0
certificate,0.0
certification,0.0
certified,0.0
cffaceabdaccedbfdcdbfcacca,0.0
cfo,0.0
chain,0.0
chair,0.0
challenge,0.0
challenged,0.0
champion,0.0
chanel,0.0
changed,0.0
changing,0.0
channel,0.0
chapter,0.0
character,0.0
characteristic,0.0
charge,0.0
charging,0.0
charity,0.0
charlotte,0.0
chart,0.0
charter,0.0
chat,0.0
checking,0.0
cheerful,0.0
chelsea,0.0
chemical,0.0
chemistry,0.0
chi,0.0
chicago,0.0
chief,0.0
child,0.0
childcare,0.0
china,0.0
chinese,0.0
chip,0.0
chiropractic,0.0
choice,0.0
choose,0.0
choosing,0.0
chore,0.0
chosen,0.0
christmas,0.0
chucking,0.0
church,0.0
ci,0.0
cinema,0.0
cioreview,0.0
circuit,0.0
circumstance,0.0
cisco,0.0
citizen,0.0
citizenship,0.0
citrix,0.0
civil,0.0
claim,0.0
clarity,0.0
clarusapex,0.0
classic,0.0
classification,0.0
classified,0.0
classroom,0.0
clean,0.0
cleaner,0.0
cleaning,0.0
cleanliness,0.0
clearance,0.0
clearly,0.0
clever,0.0
click,0.0
clicking,0.0
clientele,0.0
climate,0.0
climb,0.0
clinic,0.0
clinical,0.0
clip,0.0
close,0.0
closed,0.0
closely,0.0
closer,0.0
closing,0.0
closure,0.0
clothing,0.0
club,0.0
cluster,0.0
cm,0.0
cna,0.0
cnc,0.0
coach,0.0
coaching,0.0
coast,0.0
coca,0.0
cocoa,0.0
coder,0.0
coding,0.0
coffee,0.0
coffeescript,0.0
cognos,0.0
cohesive,0.0
cola,0.0
colband,0.0
cold,0.0
collabera,0.0
collaborate,0.0
collaborates,0.0
collaborating,0.0
collaboration,0.0
collaborative,0.0
collaboratively,0.0
collaborator,0.0
colleague,0.0
collect,0.0
collected,0.0
collecting,0.0
collection,0.0
collective,0.0
college,0.0
color,0.0
colorado,0.0
colorful,0.0
columbia,0.0
columbus,0.0
column,0.0
com,0.0
combination,0.0
combine,0.0
combined,0.0
combining,0.0
come,0.0
comedy,0.0
comfort,0.0
coming,0.0
command,0.0
commensurate,0.0
comment,0.0
commerce,0.0
commercial,0.0
commissioning,0.0
commit,0.0
commitment,0.0
committed,0.0
committee,0.0
common,0.0
communicated,0.0
communicates,0.0
communicating,0.0
communicator,0.0
commuter,0.0
comp,0.0
companionship,0.0
companywide,0.0
compare,0.0
compassion,0.0
compassionate,0.0
compatibility,0.0
compatible,0.0
compelling,0.0
compete,0.0
competence,0.0
competency,0.0
competent,0.0
competing,0.0
competition,0.0
competitive,0.0
competitor,0.0
compile,0.0
complaint,0.0
complement,0.0
completed,0.0
completely,0.0
completes,0.0
completing,0.0
completion,0.0
complex,0.0
complexity,0.0
compliant,0.0
complicated,0.0
complimentary,0.0
comply,0.0
component,0.0
composed,0.0
composition,0.0
comprehend,0.0
comprehension,0.0
comprised,0.0
compromise,0.0
computing,0.0
concentration,0.0
concept,0.0
conception,0.0
conceptual,0.0
conceptualize,0.0
concern,0.0
concerning,0.0
concert,0.0
concerted,0.0
concise,0.0
concisely,0.0
conclusion,0.0
concrete,0.0
conde,0.0
condition,0.0
conduct,0.0
conducted,0.0
conducting,0.0
conference,0.0
confidence,0.0
confident,0.0
confidential,0.0
confidentiality,0.0
confidently,0.0
configuration,0.0
configure,0.0
configuring,0.0
confirm,0.0
conflict,0.0
conjunction,0.0
connect,0.0
connected,0.0
connecting,0.0
connection,0.0
connectivity,0.0
connects,0.0
consider,0.0
consideration,0.0
considering,0.0
consignment,0.0
consist,0.0
consistency,0.0
consistent,0.0
consistently,0.0
consisting,0.0
consists,0.0
constant,0.0
constantly,0.0
constraint,0.0
construction,0.0
constructive,0.0
consult,0.0
consultancy,0.0
consultation,0.0
consultative,0.0
consumer,0.0
consumertrack,0.0
consumption,0.0
contacted,0.0
contacting,0.0
container,0.0
contemporary,0.0
content,0.0
contest,0.0
context,0.0
continual,0.0
continually,0.0
continue,0.0
continues,0.0
continuing,0.0
continuity,0.0
continuous,0.0
continuum,0.0
contracted,0.0
contractor,0.0
contractual,0.0
contribute,0.0
contributing,0.0
contributor,0.0
controller,0.0
controlling,0.0
convenient,0.0
conventional,0.0
conversation,0.0
conversational,0.0
conversion,0.0
conversocial,0.0
convert,0.0
converting,0.0
convey,0.0
convinced,0.0
coo,0.0
cooking,0.0
cool,0.0
coolest,0.0
cooling,0.0
cooperate,0.0
cooperation,0.0
cooperative,0.0
coordinating,0.0
coordination,0.0
coordinator,0.0
copenhagen,0.0
copier,0.0
copy,0.0
copywriter,0.0
copywriting,0.0
core,0.0
corner,0.0
cornerstone,0.0
corp,0.0
corporation,0.0
correct,0.0
correcting,0.0
correction,0.0
correctly,0.0
correspondence,0.0
cosmetic,0.0
cost,0.0
costing,0.0
council,0.0
counsel,0.0
counseling,0.0
counselor,0.0
count,0.0
counter,0.0
county,0.0
couple,0.0
coupled,0.0
courier,0.0
course,0.0
coursework,0.0
courteous,0.0
cove,0.0
cover,0.0
coverage,0.0
covered,0.0
covering,0.0
coworkers,0.0
cpa,0.0
cpr,0.0
craft,0.0
crafting,0.0
craftsman,0.0
craftsmanship,0.0
crash,0.0
crazy,0.0
created,0.0
creates,0.0
creating,0.0
creation,0.0
creatively,0.0
creatives,0.0
creativity,0.0
creator,0.0
credential,0.0
credibility,0.0
credit,0.0
crest,0.0
crew,0.0
criminal,0.0
crisis,0.0
criterion,0.0
critical,0.0
crm,0.0
cross,0.0
crossroad,0.0
crowd,0.0
crucial,0.0
cruise,0.0
crusty,0.0
cs,0.0
csd,0.0
csr,0.0
ct,0.0
cto,0.0
cubical,0.0
cubicle,0.0
culinary,0.0
cultivate,0.0
cultivating,0.0
culture,0.0
curate,0.0
curated,0.0
curiosity,0.0
curious,0.0
currency,0.0
curriculum,0.0
curve,0.0
customization,0.0
customize,0.0
customized,0.0
cut,0.0
cutout,0.0
cutting,0.0
cv,0.0
cyber,0.0
cycle,0.0
cyprus,0.0
dabo,0.0
dafbedafddffdfbcda,0.0
dallas,0.0
damage,0.0
dan,0.0
dance,0.0
dark,0.0
dashboard,0.0
datasets,0.0
date,0.0
david,0.0
daycare,0.0
dayton,0.0
db,0.0
dba,0.0
dbdbbecdfdadffeebbcddb,0.0
dbdcdedececedffeaaaacded,0.0
dbdfcdbecfcabaeaacbfdeb,0.0
dc,0.0
dccffcbccaceaeaedbdfcfcafaecaaeed,0.0
deadline,0.0
deaf,0.0
deal,0.0
dealer,0.0
dealership,0.0
dealing,0.0
debit,0.0
debt,0.0
debug,0.0
debugging,0.0
decade,0.0
december,0.0
decide,0.0
decision,0.0
deck,0.0
declara,0.0
dedicated,0.0
dedication,0.0
deep,0.0
deepen,0.0
deeper,0.0
deeply,0.0
defect,0.0
defense,0.0
define,0.0
defined,0.0
defining,0.0
definitely,0.0
definition,0.0
deflockedstate,0.0
defpriority,0.0
defqformat,0.0
defsemihidden,0.0
defunhidewhenused,0.0
del,0.0
delight,0.0
deliver,0.0
deliverable,0.0
delivered,0.0
delivers,0.0
delivery,0.0
dell,0.0
deloitte,0.0
demand,0.0
demanding,0.0
demeanor,0.0
demo,0.0
democracy,0.0
demonstrable,0.0
demonstrate,0.0
demonstrated,0.0
demonstrates,0.0
demonstrating,0.0
demonstration,0.0
denver,0.0
departmental,0.0
depend,0.0
dependable,0.0
dependency,0.0
dependent,0.0
depending,0.0
depends,0.0
deploy,0.0
deployed,0.0
deploying,0.0
deployment,0.0
depop,0.0
deposit,0.0
depth,0.0
deserve,0.0
designated,0.0
designation,0.0
buying,0.0
designer,0.0
designing,0.0
desire,0.0
desired,0.0
desk,0.0
desktop,0.0
destination,0.0
detect,0.0
detection,0.0
determination,0.0
determine,0.0
determined,0.0
determines,0.0
determining,0.0
detroit,0.0
dev,0.0
developed,0.0
developing,0.0
developmental,0.0
device,0.0
devise,0.0
devops,0.0
devoted,0.0
dhaka,0.0
diagnose,0.0
diagnosis,0.0
diagnostic,0.0
diagnostics,0.0
diagram,0.0
dialer,0.0
dice,0.0
die,0.0
diego,0.0
diem,0.0
difference,0.0
different,0.0
differential,0.0
difficult,0.0
dig,0.0
dilbeck,0.0
dimensional,0.0
ding,0.0
dining,0.0
dinner,0.0
direct,0.0
directed,0.0
directing,0.0
directive,0.0
directly,0.0
director,0.0
directory,0.0
directs,0.0
directv,0.0
dirt,0.0
dirty,0.0
disaster,0.0
disbursement,0.0
discharge,0.0
disciplinary,0.0
disciplined,0.0
discounted,0.0
discover,0.0
discovering,0.0
discovery,0.0
discrepancy,0.0
discretion,0.0
discus,0.0
discussing,0.0
discussion,0.0
disease,0.0
dish,0.0
disney,0.0
dispatch,0.0
display,0.0
disrupt,0.0
disrupted,0.0
disrupting,0.0
disruptive,0.0
distance,0.0
distinct,0.0
distribute,0.0
distributed,0.0
distributing,0.0
distribution,0.0
distributor,0.0
district,0.0
dive,0.0
diverse,0.0
diversity,0.0
division,0.0
django,0.0
dna,0.0
dns,0.0
doc,0.0
doctor,0.0
document,0.0
documentation,0.0
documented,0.0
documenting,0.0
doe,0.0
doer,0.0
dog,0.0
dollar,0.0
domain,0.0
domestic,0.0
donor,0.0
dopios,0.0
dot,0.0
double,0.0
doubling,0.0
download,0.0
downtime,0.0
downtown,0.0
dozen,0.0
dr,0.0
draft,0.0
drafting,0.0
draw,0.0
drawer,0.0
drawing,0.0
dream,0.0
dress,0.0
dressing,0.0
dried,0.0
drilling,0.0
drink,0.0
drive,0.0
driven,0.0
drop,0.0
dropbox,0.0
drug,0.0
drupal,0.0
dry,0.0
dubai,0.0
dublin,0.0
dust,0.0
dutch,0.0
dynamically,0.0
dyson,0.0
ea,0.0
ead,0.0
eager,0.0
eagerness,0.0
early,0.0
earned,0.0
earning,0.0
ease,0.0
easier,0.0
easiest,0.0
easily,0.0
east,0.0
easy,0.0
eat,0.0
ebay,0.0
ec,0.0
ecafbfecaefbcdcfbebadcacdddbae,0.0
echoing,0.0
eclipse,0.0
ecommerce,0.0
economic,0.0
economics,0.0
economy,0.0
ecosystem,0.0
ed,0.0
edcbafbeedcdbdeccddacfdf,0.0
edge,0.0
edit,0.0
editd,0.0
editing,0.0
editor,0.0
editorial,0.0
educate,0.0
educated,0.0
educating,0.0
educational,0.0
educator,0.0
ee,0.0
eefcfabbfbfccccecbbcafaabdbfccfd,0.0
een,0.0
eeoicp,0.0
effect,0.0
efficiency,0.0
efficiently,0.0
efounders,0.0
ego,0.0
ehs,0.0
el,0.0
elasticsearch,0.0
elearning,0.0
electric,0.0
electrical,0.0
electrician,0.0
electricity,0.0
electronic,0.0
electronics,0.0
elegant,0.0
element,0.0
eligibility,0.0
eligible,0.0
eliminating,0.0
elite,0.0
embark,0.0
embedded,0.0
ember,0.0
embrace,0.0
emea,0.0
emergency,0.0
emerging,0.0
emission,0.0
emmanuel,0.0
emotional,0.0
empathy,0.0
emphasis,0.0
employ,0.0
employed,0.0
employing,0.0
empower,0.0
empowered,0.0
empowering,0.0
empowers,0.0
en,0.0
enable,0.0
enabled,0.0
enables,0.0
enabling,0.0
encourage,0.0
encourages,0.0
encouraging,0.0
endeavor,0.0
ending,0.0
endless,0.0
enforce,0.0
enforcement,0.0
enforcing,0.0
engage,0.0
engaged,0.0
engagement,0.0
engages,0.0
engaging,0.0
engine,0.0
england,0.0
enhance,0.0
enhanced,0.0
enhancement,0.0
enhances,0.0
enhancing,0.0
enjoyable,0.0
enjoyed,0.0
enjoying,0.0
enjoys,0.0
enquiry,0.0
